MatchDate,TeamName
2025-10-30,Real Murcia
2025-10-30,Levante
2025-10-30,Celta Vigo
2025-10-30,Deportivo La Coruña
2025-10-30,Real Ávila
2025-10-30,Antequera CF
2025-10-30,Real Betis
2025-10-30,Castellón
2025-10-30,Málaga
2025-10-30,Getxo
2025-10-30,Ponferradina
2025-10-30,Real Aviles Industrial
2025-10-30,Alavés
2025-10-30,Gimnàstic de Tarragona
2025-10-30,Espanyol
2025-10-30,FC Andorra
2025-12-02,Getafe
2025-12-02,Ceuta
2025-12-02,Huesca
2025-12-02,Alavés
2025-12-02,Mallorca
2025-12-02,CD Ebro
2025-12-02,Numancia
2025-12-02,Portugalete
2025-12-02,Racing Ferrol
2025-12-02,CD Artistico Navalcarnero
2025-12-02,Osasuna
2025-12-02,CD Guadalajara
2025-12-03,Eldense
2025-12-03,Mirandés
2025-12-03,Real Betis
2025-12-03,Real Sociedad
2025-12-03,Elche
2025-12-03,Eibar
2025-12-03,Girona
2025-12-03,Villarreal
2025-12-03,Levante
2025-12-03,Málaga
2025-12-03,Cádiz
2025-12-03,Cultural Leonesa
2025-12-03,Sporting Gijón
2025-12-03,FC Andorra
2025-12-03,Torrent
2025-12-03,Reddis
2025-12-03,Quintanar del Rey
2025-12-03,Pontevedra
2025-12-03,Ourense CF
2025-12-03,Club Atlético Antoniano
2025-12-03,Talavera
2025-12-03,Real Murcia
2025-12-03,Almería
2025-12-03,Cieza
2025-12-04,Espanyol
2025-12-04,Valencia
2025-12-04,Sevilla
2025-12-04,Racing Santander
2025-12-04,Albacete
2025-12-04,Deportivo La Coruña
2025-12-04,Rayo Vallecano
2025-12-04,Celta Vigo
2025-12-04,FC Cartagena
2025-12-04,Granada
2025-12-04,Atlético Baleares
2025-12-04,CD Sabadell
2025-12-04,Leganés
2025-12-04,Real Ávila
2025-12-04,Ponferradina
2025-12-04,CD Extremadura
2025-12-04,Real Zaragoza
2025-12-04,Sant Andreu
2025-12-04,Tenerife
2025-12-04,Burgos
2025-12-16,CD Guadalajara
2025-12-16,Sporting Gijón
2025-12-16,Eldense
2025-12-16,Eibar
2025-12-16,Mallorca
2025-12-16,Barcelona
2025-12-16,Valencia
2025-12-16,Real Sociedad
2025-12-16,Elche
2025-12-16,Deportivo La Coruña
2025-12-17,Cultural Leonesa
2025-12-17,Albacete
2025-12-17,Alavés
2025-12-17,Huesca
2025-12-17,Levante
2025-12-17,Celta Vigo
2025-12-17,Atlético Madrid
2025-12-17,Osasuna
2025-12-17,Villarreal
2025-12-17,Sevilla
2025-12-17,Atlético Baleares
2025-12-17,Real Madrid
2025-12-17,Talavera
2025-12-17,Racing Santander
2025-12-18,Athletic Club
2025-12-18,Real Betis
2025-12-18,Real Murcia
2025-12-18,Ourense CF
2025-12-18,Burgos
2025-12-18,Getafe
2026-01-06,Rayo Vallecano
2026-01-06,Granada
2026-01-13,Athletic Club
2026-01-13,Osasuna
2026-01-13,Cultural Leonesa
2026-01-13,Deportivo La Coruña
2026-01-13,Real Sociedad
2026-01-13,Atlético Madrid
2026-01-14,Rayo Vallecano
2026-01-14,Real Madrid
2026-01-14,Elche
2026-01-14,Alavés
2026-01-14,Real Betis
2026-01-14,Albacete
2026-01-15,Burgos
2026-01-15,Barcelona
2026-01-15,Valencia
2026-01-15,Racing Santander
2026-02-03,Barcelona
2026-02-03,Albacete
2026-02-04,Athletic Club
2026-02-04,Real Sociedad
2026-02-04,Valencia
2026-02-04,Alavés
2026-02-05,Real Betis
2026-02-05,Atlético Madrid
2026-02-11,Real Sociedad
2026-02-11,Athletic Club
2026-02-12,Barcelona
2026-02-12,Atlético Madrid
2026-03-03,Atlético Madrid
2026-03-03,Barcelona
2026-03-04,Athletic Club
2026-03-04,Real Sociedad
2026-04-18,Atlético Madrid
2026-04-18,Real Sociedad
